ev_id,regis_no,damage,acft_make,acft_model,acft_category,total_seats,num_eng,date_last_insp,owner_country,oper_name,dprt_apt_id,dprt_city,dprt_state,dprt_country,dprt_time,dest_apt_id,dest_city,dest_state,dest_country,ntsb_no,ev_type,ev_date,ev_dow,ev_time,ev_city,ev_state,ev_country,ev_site_zipcode,ev_year,ev_month,latitude,longitude,apt_name,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,wind_vel_kts,altimeter,ev_highest_injury,inj_total,lchg_date,dec_latitude,dec_longitude,finding_code,finding_description,occurence_description
20120208X70842,N360AA,,BOEING,767,AIR,225,2,2/2/2012,USA,American Airlines,JFK,Jamaica,NY,USA,1600,PAP,Port au Prince,,HA,ENG12IA010,INC,2/8/2012,We,1609,Jamaica,NY,USA,,2012,2,404233N,0734947W,John F. Kennedy International,,,0,0,,,0,NONE,210,9/13/2021,40.709255,-73.829734,105731113,Aircraft-Aircraft power plant-Engine fuel and control,Initial climb Fire/smoke (non-impact)
20120221X32033,N374DA,,BOEING,737-832,AIR,189,2,2/12/2012,USA,Delta Air Lines,LAX,Los Angeles,CA,USA,,DTW,Detroit,MI,USA,CEN12LA166,ACC,2/19/2012,Su,100,Detroit,MI,USA,,2012,2,042213N,0083335W,,,,0,0,,,0,SERS,136,9/25/2020,42.350753,-83.059837,303201591,Environmental issues-Conditions/weather/phenomena,Approach Turbulence encounter
20120224X25922,N331NW,SUBS,AIRBUS,A320 211,AIR,156,2,10/22/2011,USA,Delta Air Lines,KMSP,Minneapolis,MN,USA,38,RNO,RENO,NV,USA,DCA12CA043,ACC,11/10/2011,Th,1745,Minneapolis,MN,USA,55111,2011,11,044524N,0931336W,MINNEAPOLIS-ST PAUL INTL/WOLD-,DAYL,OVCT,5000,5000,OVC,11,30.04000092,NONE,150,9/25/2020,44.867778,-93.226669,302204581,Environmental issues-Physical environment-Object/animal/bird,Initial climb Birdstrike
20120224X42146,N936WN,,BOEING,737 7H4,AIR,145,2,4/25/2011,USA,Southwest Airlines,KMDW,Chicago,IL,USA,1346,KFLL,Fort Lauderdale,FL,USA,DCA11CA116,ACC,9/6/2011,Tu,1709,Cape Coral,FL,USA,33993,2011,9,262624N,0008230W,,DAYL,SCAT,2000,5000,BKN,4,29.88999939,SERS,142,9/25/2020,26.44,-82.050003,303202083,Environmental issues-Conditions/weather/phenomena,Enroute-descent Turbulence encounter
20120229X70237,N915WN,,BOEING,737-7H4,AIR,145,2,2/9/2012,USA,Southwest Airlines,KMDW,Chicago,IL,USA,1935,KLAX,Las Angeles,CA,USA,WPR12LA119,ACC,2/23/2012,Th,2030,Pawnee,NE,USA,68420,2012,2,040108N,0009697W,,DAYL,SCAT,2700,3200,OVC,19,29.43000031,SERS,140,9/25/2020,40.168888,-96.151947,201201032,Personnel issues-Physical-Impairment/incapacitation-Illness/injury,Enroute-cruise Turbulence encounter
20120302X00956,N829MH,,BOEING,767,AIR,260,2,2/19/2011,USA,Delta Air Lines,FRA,Frankfurt,,GE,906,DTW,Detroit,MI,USA,DCA12CA045,ACC,2/26/2012,Su,906,Angers,,FR,0,2012,2,472825N,0003315E,,DAYL,,0,0,,,0,SERS,147,9/25/2020,47.473609,-0.554166,205000043,Personnel issues-Action/decision-Action-Incorrect action performance,Enroute Cabin safety event
20120322X25316,N247WN,,BOEING,737-7H4,AIR,140,2,3/15/2012,USA,Southwest Airlines,TPA,Tampa,FL,USA,1053,PHX,Phoenix,AZ,USA,WPR12LA144,ACC,3/20/2012,Tu,1330,Laverne,OK,USA,73848,2012,3,036422N,0995321W,West Woodward Airport,DAYL,CLER,0,0,NONE,7,29.71999931,SERS,142,9/25/2020,36.700466,-99.889244,303201583,Environmental issues-Conditions/weather/phenomena,Enroute-cruise Turbulence encounter
20120511X73555,N951FR,,AIRBUS,A319-112,AIR,100,2,,USA,Frontier Airlines,DEN,Denver,CO,USA,,FLL,Fort Lauderdale,FL,USA,DCA12FA069,ACC,5/10/2012,Th,1753,Fort Lauderdale,FL,USA,12345,2012,5,042482N,0735510W,Fort Lauderdale,DAYL,,0,0,,,0,SERS,143,9/13/2021,42.800624,-73.919555,303202083,Environmental issues-Conditions/weather/phenomena,Enroute-descent Turbulence encounter
20120530X64155,N834AE,SUBS,EMBRAER,EMB 135KL,AIR,44,,5/26/2012,USA,American Airlines,SGF,Springfield,MO,USA,1641,ORD,Chicago,IL,USA,DCA12CA082,ACC,5/30/2012,We,1800,Chicago,IL,USA,60666,2012,5,415824N,0875412W,Chicago O’Hare International,DAYL,FEW,4700,6000,BKN,9,29.89999962,NONE,24,9/25/2020,41.973331,-87.903335,202204036,Personnel issues-Psychological-Perception/orientation/illusion,Taxi-to runway Ground collision
20120608X43116,N936UW,,BOEING,757 2B7,AIR,,2,6/6/2012,USA,American Airlines,SJU,San Juan,PR,USA,1247,KPHL,Philadelphia,PA,USA,DCA12CA086,ACC,6/7/2012,Th,1616,Philadelphia,PA,USA,19153,2012,6,395228N,0751431W,PHILADELPHIA INTL,DAYL,SCAT,9000,13000,NONE,15,0,SERS,186,9/25/2020,39.874443,-75.241943,303202083,Environmental issues-Conditions/weather/phenomena,Enroute-descent Turbulence encounter
