Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2.01405E+12,19-May-14,8-Apr-14,LIT,Little Rock National,American Airlines  ,Property Damage,Checkpoint,Baggage/Cases/Purses,$250.14 ,Approve in Full
2.01401E+12,3-Jan-14,30-Dec-13,MCO,Orlando International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,$250.00 ,Settle
2.01401E+12,7-Jan-14,21-Dec-13,HNL,Honolulu International Airport,Hawaiian Airlines  ,Property Damage,Checked Baggage,Clothing,$250.00 ,Approve in Full
2.01401E+12,6-Jan-14,13-Dec-13,CLT,Charlotte/Douglas International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Personal Electronics,$250.00 ,Approve in Full
2.01401E+12,17-Jan-14,27-Dec-13,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checkpoint,Personal Accessories,$250.00 ,Settle
2.01403E+12,13-Mar-14,11-Mar-14,OAK,Metropolitan Oakland International,Southwest Airlines  ,Property Damage,Checked Baggage,Tools & Home Improvement Supplies,$250.00 ,Approve in Full
2.01403E+12,26-Mar-14,22-Mar-14,MCO,Orlando International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Personal Electronics,$250.00 ,Approve in Full
2.01403E+12,24-Mar-14,8-Mar-14,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checkpoint,Clothing,$250.00 ,Settle
2.01404E+12,1-Apr-14,8-Mar-14,CHS,Charleston International,American Airlines  ,Property Damage,Checkpoint,Clothing,$250.00 ,Approve in Full
2.01404E+12,8-Apr-14,16-Feb-14,MCO,Orlando International Airport,UAL  ,Property Damage,Checked Baggage,Computer & Accessories,$250.00 ,Approve in Full
2.01405E+12,22-May-14,28-Apr-14,JFK,John F. Kennedy International,Lan Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,$250.00 ,Settle
2.01406E+12,3-Jun-14,16-May-14,BUF,Buffalo Niagara International,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,$250.00 ,Approve in Full
2.01406E+12,29-May-14,18-May-14,JFK,John F. Kennedy International,Lufthansa  ,Passenger Property Loss,Checked Baggage,Clothing,$250.00 ,Approve in Full
2.01408E+12,17-Jul-14,6-Jun-14,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Other,$250.00 ,Approve in Full
2.01408E+12,15-Aug-14,29-Jul-14,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Property Damage,Checkpoint,Personal Electronics,$250.00 ,Settle
2.01409E+12,14-Aug-14,5-Aug-14,MCO,Orlando International Airport,USAir  ,Property Damage,Checkpoint,Personal Accessories,$250.00 ,Approve in Full
2.01404E+12,30-Mar-14,28-Mar-14,BOS,Boston (Logan) International Airport ,UAL  ,Property Damage,Checkpoint,Other,$249.99 ,Approve in Full
2.01402E+12,10-Feb-14,24-Jan-14,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Property Damage,Checkpoint,Personal Electronics,$249.50 ,Settle
2.01407E+12,7-Jul-14,21-Jun-14,MDW,Midway International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Musical Instruments & Accessories,$249.45 ,Approve in Full
2.01402E+12,26-Feb-14,23-Dec-13,SAV,Savannah International,Delta Air Lines  ,Property Damage,Checkpoint,Personal Accessories,$249.00 ,Approve in Full
2.01404E+12,21-Apr-14,11-Apr-14,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Property Damage,Checkpoint,Personal Electronics,$249.00 ,Settle
